0,0,890
10,100,860
20,199,760
22,219,750
25,240,700
27.5,260,660
30,280,640
32,300,610
35,320,560
39,340,510
40,350,500
43,360,460
48,370,390
50,375,365
52,368,340
56,360,305
59,340,280
60.5,320,280
63,300,270
64,290,250
65,280,240
69,260,220
71,240,210
74,230,200
76,220,190
79,200,180
82,190,170
85,180,160
90,170,150
92,160,145
96,150,140
100,140,140
110,120,120
120,107,107
160,83,83
164,80,80
170,80,80
180,79.4,79.4
